iConf CONFORMER     FL  occ    crg   Em0  pKa0 ne nH    vdw0    vdw1    tors    epol   dsolv   extra    history
00001 0LI01A1000_001 f 0.00 -0.000     0  0.00  0  0 0.000     0.000   0.000   0.000   0.000   2.030 01O000M000 t
00002 0LI01A1000_002 t 0.00 -0.000     0  0.00  0  0 0.000     0.000   0.000   0.000   0.000   2.030 01O000M000 t
00003 0LI+1A1000_003 f 0.00  1.000     0  0.00  0  0 0.000     0.000   0.000   0.000   0.002   0.316 +1O000M000 t
00004 0LI+1A1000_004 t 0.00  1.000     0  0.00  0  0 0.000     0.000   0.000   0.000   0.002   0.316 +1O000M000 t
00005 0LI+2A1000_005 f 0.00  1.000     0  0.00  0  0 0.000     0.000   0.000   0.000   0.001   0.573 +2O000M000 t
00006 0LI+2A1000_006 t 0.00  1.000     0  0.00  0  0 0.000     0.000   0.000   0.000   0.001   0.573 +2O000M000 t
00007 0LI01A1004_001 t 0.00 -0.000     0  0.00  0  0 0.000     0.000   0.000   0.000   0.000   2.030 01O000M000 t
00008 0LI+1A1004_002 t 0.00  1.000     0  0.00  0  0 0.000     0.000   0.000   0.000   0.002   0.316 +1O000M000 t
00009 0LI+2A1004_003 t 0.00  1.000     0  0.00  0  0 0.000     0.000   0.000   0.000   0.002   0.573 +2O000M000 t
