-2120.970947,9,619 
-2121.273926,1,581 
-2121.078613,8,127 
-2121.028809,1,293 
-2124.311768,2,567 
-2126.495117,2,395 
-2126.057373,1,139 
-2125.784424,1,326 
-2125.989746,2,128 
-2129.217041,6,424 
-2129.558838,1,618 
-2129.593994,3,382 
-2130.020020,13,138 
-2129.677979,4,619 
-2129.902100,3,610 
-2130.174805,2,325 
-2130.671875,7,618 
-2130.478516,1,127 
-2129.539307,10,342 
-2129.275391,2,580 
-2128.291260,13,164 
-2129.230469,2,341 
-2128.731934,2,520 
-2128.569824,3,132 
-2129.553955,2,165 
-2129.983887,8,69 
-2129.776123,5,340 
-2129.839111,1,525 
-2130.046875,4,339 
-2129.916992,2,311 
-2129.511963,1,70 
-2129.695801,10,295 
-2129.857666,1,133 
-2128.848633,3,239 
-2126.756348,4,393 
-2127.766602,1,240 
-2128.172607,3,69 
-2128.161377,5,385 
-2127.309082,4,74 
-2127.266113,5,523 
-2127.096191,3,293 
-2126.877686,3,93 
-2125.001465,2,336 
-2127.053711,3,392 
-2127.543213,3,519 
-2127.699219,7,326 
-2127.174316,7,123 
-2127.438232,1,581 
-2127.025391,3,139 
-2127.135254,1,525 
-2126.962158,2,132 
-2126.471191,2,619 
-2126.760742,9,128 
-2127.232422,3,524 
-2127.118652,1,166 
-2126.088379,8,239 
-2126.099609,6,382 
-2127.127686,4,240 
-2127.097656,1,381 
-2126.558594,2,377 
-2126.672607,4,165 
-2127.253906,4,334 
-2126.964355,6,127 
-2126.662598,11,70 
-2127.099365,2,138 
-2127.318848,3,92 
-2128.057373,10,75 
-2128.307373,2,179 
-2128.407471,14,310 
-2128.911377,6,618 
-2129.368408,1,117 
-2128.911377,3,116 
-2129.271484,10,69 
-2128.887207,2,611 
-2129.426270,3,378 
-2129.702637,11,128 
-2129.111572,5,609 
-2129.630615,2,124 
-2129.702393,4,180 
-2128.765381,14,164 
-2129.588379,2,166 
-2130.563477,15,610 
-2130.051270,2,619 
-2130.563477,2,618 
-2130.421387,2,70 
-2129.564453,3,125 
-2129.124268,2,325 
-2127.754883,1,223 
-2126.712891,8,386 
-2126.164551,2,377 
-2126.358398,4,295 
-2126.526367,4,133 
-2127.074463,1,378 
-2128.443848,7,224 
-2127.628418,8,510 
-2127.402832,2,93 
-2127.208984,6,293 
-2127.041016,1,132 
-2126.793213,4,580 
-2126.366943,2,58 
-2125.799316,3,520 
-2125.704346,2,382 
-2123.462402,3,263 
-2122.194336,6,223 
-2123.039795,7,509 
-2123.025879,10,51 
-2122.507812,1,619 
-2122.441895,9,311 
-2119.371094,2,579 
-2119.748291,7,361 
-2119.846191,2,381 
-2120.073486,1,69 
-2119.688477,4,139 
-2121.792480,1,264 
-2121.787354,4,165 
-2123.199707,16,224 
-2124.001465,3,124 
-2124.099609,5,310 
-2123.930420,3,70 
-2124.373535,3,326 
-2124.422607,1,166 
-2124.091797,1,340 
-2123.555664,1,377 
-2122.648438,4,342 
-2122.657471,1,50 
-2123.145508,7,181 
-2123.557617,2,69 
-2123.457520,3,382 
-2123.627686,2,133 
-2123.513672,3,311 
-2123.839111,11,394 
-2123.267090,1,523 
-2123.839111,2,524 
-2123.356201,2,525 
-2123.455078,2,165 
-2122.935059,10,70 
-2123.469238,1,378 
-2123.981445,8,69 
-2122.786865,1,159 
-2122.732666,1,164 
-2123.276367,2,519 
-2123.385254,4,295 
-2123.492188,6,310 
-2123.396240,4,51 
-2121.998779,3,258 
-2122.573730,2,618 
-2121.920410,8,70 
-2122.097168,2,384 
-2125.006104,1,578 
-2125.232666,2,92 
-2125.900879,4,69 
-2126.004883,1,50 
-2126.505615,5,524 
-2125.957520,5,377 
-2126.505615,8,378 
-2127.908203,2,256 
-2127.343506,14,520 
-2126.868408,11,325 
-2126.643799,4,93 
-2126.297363,1,395 
-2126.543213,1,581 
-2127.111816,2,519 
-2126.593750,2,123 
-2125.567627,1,239 
-2125.451416,6,311 
-2126.383789,12,341 
-2125.568115,6,510 
-2125.293701,4,127 
-2125.868652,2,166 
-2126.278809,10,56 
-2126.561279,4,128 
-2125.984619,1,520 
-2126.395508,3,138 
-2126.873779,6,326 
-2123.128906,2,35 
-2123.957520,4,509 
-2123.691895,1,127 
-2124.151123,4,117 
-2123.820312,1,383 
-2123.347168,2,325 
-2124.983887,3,335 
-2124.559082,2,139 
-2124.983887,3,138 
-2124.533936,3,611 
-2125.051758,1,124 
-2124.798828,1,580 
-2125.838135,2,240 
-2126.135742,7,394 
-2126.042725,2,309 
-2126.274170,4,92 
-2125.762207,11,165 
-2126.326904,3,519 
-2123.338135,4,95 
-2122.825195,3,377 
-2123.267090,1,37 
-2122.666992,1,180 
-2125.655762,2,94 
-2125.419189,3,93 
-2125.932129,6,378 
-2125.508057,1,58 
-2125.932129,7,56 
-2125.768311,5,179 
-2125.705078,2,164 
-2125.140625,2,520 
-2124.978516,1,132 
-2125.043457,3,311 
-2124.978516,3,309 
-2124.590576,4,139 
-2124.354492,3,182 
-2124.603516,3,381 
-2124.869385,4,339 
-2124.411133,20,609 
-2124.641357,5,179 
-2125.649658,1,387 
-2125.881104,11,92 
-2129.220215,4,38 
-2129.603027,1,138 
-2129.072021,13,123 
-2129.156250,9,311 
-2128.924561,1,93 
-2128.956543,3,382 
-2129.195312,2,581 
-2129.768066,3,519 
-2128.743896,9,239 
-2126.315918,2,555 
-2126.474854,2,180 
-2126.043945,9,525 
-2125.524902,1,377 
-2126.526123,1,240 
-2126.123291,1,139 
-2126.580322,2,611 
-2127.137207,1,181 
-2127.394775,9,128 
-2127.276123,3,293 
-2126.841064,1,116 
-2126.727051,7,309 
-2126.895020,5,133 
-2127.051758,2,384 
-2126.383545,3,115 
-2124.723145,8,441 
-2123.714355,2,109 
-2124.262207,4,124 
-2126.669434,20,556 
-2127.672119,5,108 
-2127.080078,1,180 
-2127.627197,2,378 
-2127.747803,2,295 
-2127.691895,11,70 
-2128.115723,4,138 
-2129.089111,1,117 
-2128.566162,7,123 
-2126.958008,3,582 
-2126.524170,5,619 
-2125.956055,6,182 
-2125.599121,3,340 
-2125.675293,5,165 
-2127.283447,2,581 
-2127.808350,6,124 
-2128.347412,3,69 
-2127.526855,1,510 
-2126.517578,14,239 
-2127.338135,2,509 
-2127.574707,2,92 
-2128.583984,2,240 
-2128.525879,17,164 
-2128.358887,3,132 
-2127.918701,1,440 
-2127.976807,2,165 
-2128.886719,1,181 
-2128.848145,5,293 
-2129.015137,14,133 
-2128.583008,1,58 
-2128.363525,5,127 
-2128.172363,3,385 
-2128.377441,4,339 
-2125.808105,1,242 
-2124.902344,3,182 
-2125.398193,2,524 
-2125.161621,4,93 
-2124.753662,3,139 
-2124.185547,2,377 
-2124.605713,1,56 
-2126.704102,3,444 
-2127.599121,8,181 
-2127.103027,5,525 
-2127.452148,4,618 
-2127.572266,2,311 
-2127.370361,9,340 
-2126.556885,5,510 
-2126.758789,11,339 
-2127.572266,1,509 
-2127.597168,1,132 
-2127.477295,5,523 
-2128.084229,1,524 
-2127.718262,9,70 
-2126.530518,2,145 
-2126.260742,1,326 
-2126.530518,4,325 
-2126.887451,7,69 
-2126.538574,4,619 
-2125.951416,1,180 
-2125.529297,1,58 
-2127.891602,1,241 
-2128.129150,1,92 
-2128.551270,3,56 
-2129.773682,3,160 
-2130.339600,2,378 
-2129.773682,5,377 
-2130.030029,6,128 
-2130.596191,4,378 
-2131.748047,1,146 
-2131.181885,4,377 
-2130.926025,1,70 
-2130.738525,2,127 
-2130.804688,7,382 
-2130.992188,1,128 
-2131.354980,2,618 
-2129.711914,2,615 
-2129.774170,3,310 
-2130.184082,8,138 
-2128.678467,1,258 
-2127.535645,1,145 
-2127.385742,2,383 
-2127.330566,3,309 
-2127.023682,4,179 
-2127.195801,14,133 
-2127.157715,11,311 
-2127.442383,5,384 
-2126.626953,7,510 
-2126.665039,4,309 
-2126.328369,10,395 
-2126.073242,4,182 
-2125.635010,2,58 
-2125.759766,2,295 
-2126.902832,1,146 
-2126.483887,1,619 
-2127.028809,7,180 
-2127.468750,3,618 
-2129.111816,9,614 
-2129.220703,3,69 
-2129.078857,5,340 
-2130.488281,4,256 
-2130.368164,10,51 
-2128.909424,1,363 
-2128.671631,1,326 
-2128.579834,4,179 
-2129.395264,8,509 
-2129.402344,3,166 
-2129.951416,3,358 
-2130.042480,8,180 
-2129.817871,3,127 
-2130.042480,7,128 
-2129.476807,3,520 
-2129.252197,4,127 
-2128.423828,9,510 
-2127.933838,4,525 
-2127.625977,3,383 
-2127.244141,4,139 
-2128.070801,4,509 
-2128.073730,4,165 
-2128.018799,3,523 
-2128.467773,3,610 
-2129.000000,7,378 
-2129.507568,2,519 
-2129.663574,10,382 
-2130.263428,3,181 
-2129.431152,4,74 
-2127.851074,17,615 
-2126.921143,3,334 
-2125.751953,4,386 
-2126.352051,2,524 
-2127.520020,4,387 
-2127.920166,1,138 
-2128.850098,1,335 
-2128.034668,3,510 
-2128.850098,14,509 
-2128.348877,11,611 
-2128.562012,1,310 
-2128.733887,4,339 
-2128.521240,1,93 
-2129.356689,1,75 
-2128.823730,1,377 
-2129.356689,10,378 
-2128.394531,3,342 
-2127.456299,3,164 
-2127.957520,2,610 
-2128.840332,3,361 
-2129.228027,4,394 
-2128.655273,3,520 
-2128.127441,3,123 
-2127.960449,1,340 
-2127.437500,17,377 
-2127.652832,5,92 
-2127.823730,2,339 
-2127.927734,5,50 
-2127.663818,6,125 
-2128.238525,2,519 
-2128.134277,6,51 
-2127.666504,7,116 
-2127.516357,7,383 
-2127.521484,1,380 
-2127.785400,9,123 
-2128.743652,8,341 
-2128.858643,4,381 
-2128.476074,2,395 
-2127.905518,6,520 
-2127.426758,4,525 
-2128.370605,16,165 
-2128.742188,4,394 
-2128.524658,2,93 
-2128.313965,1,340 
-2128.524658,2,339 
-2129.096436,2,519 
-2128.990234,5,311 
-2129.208008,4,92 
-2128.829346,1,395 
-2127.864258,4,342 
-2127.455078,9,139 
-2127.344238,3,309 
-2127.604492,13,128 
-2128.091309,1,524 
-2128.480957,1,394 
-2128.315186,13,340 
-2127.301025,1,239 
-2127.501709,4,384 
-2128.426758,4,341 
-2128.869873,5,117 
-2129.107666,1,325 
-2129.498535,8,138 
-2128.331299,3,386 
-2129.498535,9,387 
-2131.078613,2,614 
-2130.817627,3,580 
-2131.364746,1,378 
-2131.037598,3,70 
-2130.128662,3,609 
-2129.573486,7,377 
-2129.158691,7,139 
-2129.504395,7,339 
-2129.231689,10,326 
-2129.067139,5,127 
-2129.340088,8,325 
-2129.767090,3,138 
-2129.813965,1,166 
-2130.278076,9,611 
-2129.717773,3,159 
-2129.426758,2,380 
-2129.872070,2,610 
-2129.291016,1,619 
-2129.872070,9,618 
-2128.962891,2,609 
-2129.005859,3,310 
-2127.812012,7,145 
-2127.927002,1,381 
-2126.884766,1,386 
-2128.078613,4,146 
-2128.351807,6,69 
-2129.255859,1,610 
-2128.680908,3,619 
-2128.315186,2,395 
-2128.835205,8,124 
-2128.521973,5,364 
-2129.062012,3,378 
-2128.521973,7,377 
-2129.062012,2,378 
-2129.275635,9,128 
-2129.115479,2,132 
-2129.275635,5,133 
-2128.951660,5,70 
-2129.212402,4,581 
-2129.091309,7,385 
-2129.434326,6,69 
-2128.766357,1,164 
-2128.540771,8,93 
-2128.822266,9,160 
-2129.040771,7,92 
-2128.809082,2,340 
-2128.571289,4,326 
-2128.414551,7,383 
-2128.194824,2,127 
-2129.229004,6,240 
-2130.175049,1,166 
-2130.003174,1,132 
-2130.014160,19,380 
-2128.982910,20,239 
-2128.883057,5,293 
-2129.052246,1,133 
-2128.515137,1,377 
-2127.426025,16,113 
-2127.782227,1,361 
-2126.843262,1,334 
-2127.347168,1,618 
-2126.843262,1,619 
-2127.033203,10,339 
-2126.843262,1,340 
-2127.473389,2,116 
-2127.239258,2,611 
-2127.549805,3,394 
-2127.032959,1,123 
-2128.055176,8,240 
-2127.882080,1,132 
-2127.057129,2,609 
-2127.570068,3,378 
-2128.160156,1,618 
-2128.627197,3,117 
-2128.017090,11,523 
-2128.945068,2,335 
-2128.429932,27,377 
-2129.602051,5,387 
-2129.605957,3,50 
-2129.286377,1,395 
-2128.440430,6,164 
-2128.679932,14,128 
-2129.199951,3,378 
-2129.093994,4,311 
-2128.265625,1,74 
-2127.447021,2,510 
-2128.265625,1,509 
-2128.479248,1,325 
-2129.317383,1,166 
-2128.804688,2,520 
-2127.647949,6,145 
-2128.068115,4,56 
-2128.386475,1,394 
-2127.966309,4,58 
-2128.071289,1,165 
-2128.312988,11,295 
-2128.483887,2,133 
-2126.341309,4,263 
-2126.049316,6,125 
-2125.775879,2,395 
-2125.601807,4,132 
-2125.775879,4,133 
-2126.208008,4,56 
-2126.317871,1,310 
-2127.222168,1,610 
-2127.101074,1,309 
-2126.878418,6,93 
-2125.952393,7,342 
-2123.821289,5,73 
-2124.043945,1,92 
-2123.611816,6,58 
-2123.334717,2,70 
-2123.147949,3,293 
-2122.637939,2,619 
-2122.753662,2,295 
-2122.621582,4,51 
-2122.374756,5,326 
-2123.544678,4,146 
-2123.607666,2,525 
-2123.894531,2,339 
-2123.771484,6,311 
-2124.343994,1,519 
-2124.123535,1,93 
-2126.952881,2,75 
-2126.428711,1,377 
-2126.553711,6,309 
-2126.797363,1,384 
-2128.873291,9,264 
-2128.617188,1,580 
-2128.671387,4,310 
-2128.542969,1,127 
-2128.379883,12,132 
-2128.938965,1,378 
-2129.037842,1,50 
-2129.286865,3,581 
-2129.622314,2,394 
-2130.006348,3,69 
-2129.788330,1,309 
-2127.689941,7,440 
-2127.916504,11,92 
-2128.878662,1,341 
-2129.048584,6,133 
-2128.847656,2,340 
-2129.271973,6,56 
-2128.549072,3,179 
-2130.656494,5,444 
-2130.461426,5,182 
-2130.959473,3,524 
-2130.500244,7,116 
-2130.206299,7,611 
-2129.780273,1,58 
-2129.577393,7,382 
-2130.489502,1,181 
-2130.688232,1,339 
-2130.930176,3,325 
-2130.548584,3,395 
-2130.784912,2,128 
-2131.204834,3,618 
-2131.036865,4,132 
-2130.795166,4,326 
-2130.310303,1,525 
-2129.470947,11,74 
-2129.758789,5,123 
-2128.760742,8,239 
-2128.364746,2,139 
-2128.526367,1,384 
-2128.412354,1,523 
-2129.408691,5,240 
-2129.283691,1,51 
-2129.017090,6,127 
-2128.044922,1,342 
-2129.017090,1,341 
-2128.198730,3,510 
-2127.202393,3,239 
