-1326.076172,1,383 
-1326.516113,2,51 
-1325.273193,5,73 
-1325.084351,12,618 
-1325.116211,9,285 
-1325.067261,5,375 
-1325.662354,5,159 
-1325.607422,3,396 
-1326.745850,4,212 
-1327.739014,1,405 
-1327.267090,7,448 
-1326.807983,5,517 
-1326.963867,2,397 
-1328.370850,8,126 
-1328.132812,6,297 
-1328.671875,12,372 
-1328.722900,5,339 
-1328.412354,2,49 
-1328.470581,2,13 
-1328.936523,4,449 
-1328.987549,4,384 
-1330.316528,10,74 
-1330.519287,9,619 
-1330.974365,10,518 
-1329.264893,5,295 
-1329.766479,13,52 
-1329.555298,3,583 
-1329.514404,7,383 
-1328.442383,3,473 
-1329.155396,18,427 
-1329.177368,3,133 
-1329.304443,6,143 
-1330.971802,2,293 
-1329.999756,2,148 
-1327.804443,10,203 
-1327.663574,5,396 
-1328.145630,4,162 
-1327.425659,2,426 
-1326.791626,11,48 
-1327.865723,1,472 
-1328.499634,3,49 
-1328.694336,7,230 
-1328.193726,1,51 
-1328.672729,16,338 
-1329.324829,16,286 
-1328.546753,2,160 
-1329.520752,1,147 
-1329.389771,3,144 
-1329.896240,13,52 
-1329.536011,1,292 
-1329.896240,1,291 
-1330.614258,2,427 
-1329.800293,4,148 
-1330.034302,3,384 
-1330.848267,1,147 
-1329.547241,6,73 
-1328.355225,3,424 
-1329.579834,8,190 
-1329.839844,1,500 
-1329.420898,8,450 
-1330.738892,2,74 
-1330.677734,9,12 
-1331.096680,11,451 
-1330.350586,1,208 
-1331.096680,10,206 
-1332.139771,15,294 
-1331.878784,20,298 
-1331.947998,7,13 
-1330.638916,1,39 
-1330.443115,5,618 
-1329.932617,1,51 
-1330.137695,1,582 
-1329.064697,5,473 
-1328.995483,8,12 
-1328.838501,4,477 
-1329.984375,5,161 
-1329.174316,4,297 
-1328.864014,1,366 
-1330.166260,6,423 
-1331.481201,1,40 
-1331.294189,2,479 
-1328.214111,11,269 
-1326.035156,5,351 
-1324.776489,1,194 
-1324.909424,12,143 
-1324.820557,2,162 
-1325.137085,2,48 
-1324.969971,3,397 
-1327.177368,1,204 
-1327.044312,1,144 
-1326.615356,1,52 
-1327.414551,4,159 
-1326.961426,3,448 
-1326.162354,1,160 
-1324.812256,4,150 
-1325.010132,1,619 
-1326.360229,1,149 
-1326.421387,4,13 
-1326.508301,3,161 
-1327.167236,4,298 
-1326.240234,9,221 
-1326.573242,10,478 
-1327.396362,3,159 
-1327.826416,1,51 
-1327.991455,1,396 
-1328.054565,1,383 
-1327.879883,1,231 
-1326.642944,2,73 
-1326.326416,2,49 
-1327.214355,5,220 
-1327.386963,4,230 
-1329.568970,1,352 
-1329.499878,8,12 
-1329.324219,1,231 
-1329.041992,9,292 
-1328.587891,7,517 
-1328.059937,1,46 
-1327.951904,7,384 
-1328.494507,5,52 
-1327.493286,27,334 
-1330.633423,2,271 
-1330.672241,8,397 
-1330.553345,3,383 
-1331.610352,11,472 
-1331.729248,1,384 
-1330.606445,4,162 
-1331.871460,5,74 
-1331.319458,7,131 
-1331.920410,4,297 
-1331.319458,7,298 
-1331.598755,8,291 
-1332.062744,17,449 
-1331.851562,2,583 
-1331.242432,3,160 
-1331.311646,1,13 
-1331.443237,4,230 
-1330.707153,2,208 
-1331.261230,3,376 
-1331.139404,2,383 
-1329.905273,3,285 
-1329.767334,13,477 
-1329.891235,8,384 
-1330.365234,9,47 
-1330.012939,3,292 
-1329.857300,5,231 
-1329.041260,3,148 
-1329.786377,2,206 
-1329.278809,8,51 
-1329.434448,1,230 
-1328.120361,2,150 
-1327.850464,4,132 
-1328.063599,6,582 
-1327.740601,10,335 
-1328.285645,3,133 
-1328.408691,2,478 
-1328.896484,2,161 
-1329.342529,1,518 
-1328.896484,6,517 
-1330.210693,6,149 
-1330.718140,6,52 
-1330.651978,3,12 
-1330.635132,17,396 
-1330.602173,8,143 
-1332.623291,7,286 
-1332.640137,12,397 
-1331.874023,2,297 
-1331.424072,7,448 
-1331.874023,9,449 
-1331.595093,1,501 
-1332.139038,4,337 
-1332.281006,12,131 
-1331.782471,6,51 
-1332.366577,1,338 
-1332.293701,2,383 
-1332.739624,16,518 
-1332.800781,5,13 
-1330.595703,3,42 
-1330.900024,1,291 
-1329.706299,2,193 
-1330.677246,1,147 
-1330.544189,1,133 
-1330.866699,1,48 
-1330.140747,4,426 
-1330.054810,6,162 
-1329.888184,3,231 
-1330.153198,11,500 
-1328.199707,2,295 
-1328.007812,2,396 
-1328.102905,4,219 
-1325.078857,1,54 
-1324.153809,1,424 
-1327.851807,9,43 
-1327.744751,7,220 
-1329.326782,1,55 
-1329.433838,6,219 
-1330.224854,3,159 
-1329.914795,3,372 
-1330.225586,2,161 
-1329.806641,11,450 
-1326.848389,4,455 
-1327.088257,4,384 
-1327.109131,5,397 
-1327.573975,5,195 
-1327.516968,2,383 
-1327.383911,8,144 
-1326.930908,1,517 
-1325.678955,14,73 
-1324.712646,3,154 
-1324.887695,5,451 
-1324.821533,5,12 
-1321.935303,13,10 
-1322.003540,2,13 
-1323.248535,2,74 
-1323.051636,6,396 
-1323.453613,9,143 
-1322.965698,2,52 
-1323.162598,2,397 
-1323.650513,7,51 
-1323.529541,4,220 
-1323.982544,4,518 
-1323.688477,1,167 
-1324.004517,2,448 
-1324.634521,2,194 
-1324.345947,7,49 
-1324.802490,2,52 
-1325.935059,22,9 
-1323.552124,1,298 
-1323.224121,10,479 
-1322.767822,2,292 
-1323.224121,3,291 
-1323.552124,17,478 
-1323.353149,1,477 
-1323.552124,9,478 
-1323.431885,1,12 
-1323.056763,1,607 
-1322.603760,1,517 
-1322.114746,3,131 
-1321.883789,4,457 
-1322.003906,1,13 
-1322.086548,3,230 
-1322.042603,16,449 
-1321.843628,1,477 
-1320.790527,2,473 
-1320.834595,8,448 
-1321.887573,6,472 
-1322.086548,3,478 
-1322.003906,1,231 
-1322.457031,14,518 
-1322.245850,2,583 
-1322.310791,9,384 
-1321.323608,5,334 
-1321.203491,14,12 
-1321.417480,2,337 
-1319.422363,4,369 
-1321.910889,1,293 
-1321.714966,5,618 
-1322.119141,3,376 
-1320.717163,5,54 
-1321.171143,6,133 
-1323.086304,1,367 
-1323.132446,2,339 
-1323.610474,6,338 
-1323.753052,7,230 
-1324.487305,1,155 
-1323.515259,1,148 
-1323.767578,4,365 
-1324.697632,7,423 
-1325.669678,1,147 
-1325.609619,5,449 
-1325.487671,2,144 
-1325.698730,1,582 
-1325.771973,6,396 
-1324.684937,5,169 
-1324.208984,3,339 
-1324.043335,3,231 
-1324.208984,5,230 
-1323.271851,2,132 
-1323.227783,10,285 
-1323.947876,13,427 
-1323.765259,11,231 
-1323.877319,2,13 
-1323.831299,2,455 
-1323.620239,4,583 
-1323.186157,3,517 
-1324.542236,2,168 
-1324.379150,9,450 
-1323.729126,4,195 
-1321.432129,3,351 
-1321.183228,5,383 
-1323.516113,3,352 
-1324.119263,2,294 
-1324.295898,6,230 
-1324.183716,4,12 
-1323.369629,4,148 
-1322.659424,18,292 
-1322.338379,1,479 
-1321.857422,4,46 
-1322.075562,1,582 
-1320.556152,1,203 
-1320.870117,8,478 
-1320.971191,3,219 
-1321.682495,4,291 
-1321.207642,3,162 
-1321.682495,3,161 
-1321.965454,1,448 
-1322.779541,7,147 
-1322.980347,4,619 
-1321.580322,4,73 
-1322.061279,3,47 
-1323.648315,1,55 
-1323.590088,1,337 
-1323.116211,1,46 
-1322.570190,1,335 
-1323.044189,3,47 
-1324.003174,5,336 
-1325.298218,1,74 
-1325.496094,5,384 
-1324.187134,2,39 
-1323.902100,7,449 
-1324.340088,1,518 
-1323.628052,6,426 
-1323.569946,3,397 
-1323.736938,7,451 
-1323.570312,10,231 
-1322.466797,3,211 
-1322.457886,4,383 
-1321.983887,1,46 
-1323.292969,5,40 
-1324.005005,4,427 
-1323.668945,13,501 
-1323.501953,2,450 
-1321.774902,1,369 
-1322.057861,1,448 
-1321.850708,3,583 
-1322.057861,1,582 
-1322.184937,2,143 
-1322.587036,5,608 
-1322.325928,7,384 
-1322.587036,5,383 
-1322.317993,1,167 691 
-1321.363037,2,221 
-1320.285156,3,368 
-1320.500122,1,451 
-1321.467163,6,219 
-1321.579224,1,13 
-1321.851318,1,168 691 
-1322.325195,2,47 
-1321.778076,3,160 
-1320.476074,11,73 
-1320.269043,13,583 
-1320.156860,1,12 
-1321.954590,2,7 
-1323.083984,4,212 
-1323.048096,10,220 
-1322.574097,1,46 
-1321.650024,1,221 
-1322.124023,8,47 
-1321.695923,3,607 
-1322.244995,3,159 
-1322.452148,2,582 
-1322.546143,9,384 
-1322.716797,1,230 
-1322.243896,4,162 
-1323.166016,8,220 
-1322.950928,3,450 
-1325.650879,6,367 
-1326.974976,4,74 
-1326.638916,3,479 
